Finanzas públicas estatales
,

Consulta de: Egresos   Por: Egresos   Según: Estado
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 Total,"2,423,167,631,754","29,198,808,232","74,555,468,099","21,360,885,083","24,750,147,881","63,588,596,409","20,072,416,002","117,191,592,574","89,726,741,135","40,022,578,151","107,647,270,686","79,291,472,914","59,814,455,057","141,285,258,386","349,608,153,893","89,703,909,345","35,540,385,156","30,192,406,225","154,311,321,000","92,798,576,284","110,258,957,563","47,421,204,946","42,438,218,178","56,170,633,136","66,086,184,351","76,745,787,465","64,711,091,800","71,875,801,426","25,599,835,918","153,573,827,120","48,558,677,725","39,066,969,614"
 Servicios personales,"503,206,924,824","1,801,046,324","13,987,829,770","1,434,296,995","7,158,720,957","19,039,754,538","1,835,650,789","16,207,635,706","11,162,523,548","14,493,396,231","30,636,791,729","8,063,017,716","2,757,802,423","40,209,097,554","67,443,904,004","34,992,058,034","1,524,366,886","3,596,944,316","22,037,733,394","5,952,319,093","38,059,351,233","2,302,722,004","2,108,103,964","8,314,212,293","6,090,456,889","8,941,097,247","21,031,238,712","24,545,844,030","2,818,763,767","57,958,426,882","13,644,906,273","13,056,911,523"
 Materiales y suministros,"24,065,416,327","255,926,320","340,673,267","287,092,627","344,657,642","915,790,464","175,467,501","834,846,533","1,558,768,768","473,620,334","603,908,955","1,349,940,033","608,092,106","1,846,335,078","2,226,037,311","772,099,433","232,022,353","283,650,426","1,278,708,900","499,196,331","1,506,430,747","431,883,679","336,202,364","181,903,585","195,274,682","589,761,082","1,054,043,194","849,695,982","288,069,755","1,610,762,676","1,183,294,755","951,259,444"
 Servicios generales,"87,138,256,223","736,149,142","3,007,806,397","420,045,614","901,634,124","2,298,038,166","451,647,626","1,400,785,504","4,582,497,423","1,173,588,355","4,946,755,790","2,415,189,800","3,238,386,720","6,483,209,886","10,616,283,128","6,025,394,318","911,302,827","1,153,552,293","3,937,956,842","2,434,852,839","4,926,518,443","2,622,038,800","3,825,972,180","419,801,325","1,269,033,911","1,472,271,018","1,599,389,928","4,097,172,130","484,106,523","4,615,797,613","3,392,959,047","1,278,118,511"
"Transferencias, asignaciones, subsidios y otras ayudas","1,141,849,164,373","18,394,589,391","40,237,986,730","12,976,757,435","9,105,163,401","20,636,297,798","13,204,804,841","62,487,730,791","49,336,202,951","14,635,558,368","37,550,718,699","47,339,095,786","38,627,675,662","49,380,263,825","179,095,545,677","27,269,271,601","24,401,073,228","18,727,506,126","65,629,633,212","59,944,107,205","34,763,657,804","31,517,784,916","23,657,441,444","32,912,503,033","44,485,738,775","48,829,934,842","22,570,630,271","22,411,881,616","15,674,610,789","45,021,386,430","17,861,025,275","13,162,586,451"
"Bienes muebles, inmuebles e intangibles","10,164,845,095","315,275,012","425,934,499","66,492,459","205,848,249","279,939,835","73,535,031","267,612,492","372,007,983","62,959,674","424,251,578","229,287,447","309,118,166","1,247,441,257","235,539,595","435,670,905","192,696,617","272,526,328","1,455,229,643","95,717,723","245,482,894","123,994,298","122,439,230","231,360,415","152,369,795","530,085,665","258,494,558","601,238,179","161,044,226","370,983,807","249,910,846","150,356,689"
 Inversión pública,"69,145,235,503","1,498,522,427","1,833,205,174","364,556,584","651,234,132","3,065,207,879","46,152,090","1,942,413,804","1,060,754,817","972,058,070","1,667,405,972","1,261,452,021","1,555,209,524","8,599,630,832","11,367,641,612","1,532,256,508","416,169,243","838,376,309","4,393,096,453","2,459,015,818","2,652,593,666","1,594,273,451","1,038,546,077","4,543,796,892","2,185,919,628","464,454,669","1,529,487,126","4,318,998,198","1,701,319,919","2,272,608,327","340,161,325","978,716,956"
 Inversiones financieras y otras provisiones,"15,875,132,962","803,991,301","457,098,168","1,031,159,074","22,115,989","478,523,001", ,"2,147,638,695","74,102,731", ,"1,073,441,615","90,928,143","150,177,466","1,413,530,007","3,640,899,900", ,"216,791,074", ,"519,067,311", ,"1,087,306,885","390,362", , ,"87,139,531","100,484,522", ,"186,630,290","109,572,744","333,807,719","8,854,845","1,841,481,589"
 Recursos asignados a municipios,"412,003,185,662","4,938,410,041","12,116,423,799","3,733,475,438","4,770,358,337","8,670,055,273","2,671,839,742","26,280,869,239","12,714,979,106","5,753,898,969","18,611,267,660","16,903,623,360","10,181,972,217","29,058,111,490","52,751,562,600","15,616,175,629","6,190,712,615","4,543,155,876","24,036,240,889","18,345,318,990","21,267,328,836","7,591,247,033","6,092,131,364","9,567,055,593","10,024,623,424","9,821,634,655","12,041,712,254","10,679,777,098","4,319,370,663","28,283,143,175","8,053,759,572","6,372,950,725"
 Deuda pública,"111,730,602,103","454,898,274","1,712,892,860","536,087,975","274,671,533","7,322,105,704","1,419,639,483","1,426,389,452","8,864,903,808","2,038,901,265","2,094,961,555","358,257,876","691,999,712","3,047,638,457","13,234,889,066","2,243,975,065","1,127,341,154","776,694,551","30,594,657,947","2,121,200,688","755,341,240", ,"5,257,381,555", ,"670,065,358","5,822,677,943","4,626,095,757","4,028,760,232", ,"7,657,407,621","1,424,115,983","1,146,649,989"
 Disponibilidad final,"47,988,868,682", ,"435,617,435","510,920,882","1,315,743,517","882,883,751","193,678,899","4,195,670,358", ,"418,596,885","10,037,767,133","1,280,680,732","1,694,021,061", ,"8,995,851,000","817,007,852","327,909,159", ,"428,996,409","946,847,597","4,994,945,815","1,236,870,403", , ,"925,562,358","173,385,822", ,"155,803,671","42,977,532","5,449,502,870","2,399,689,804","127,937,737"


FUENTE: INEGI. Estadísticas de finanzas públicas estatales y municipales.
